2024																									
Тестирую концепт Браяна + мои 10/20 сма																									
	Di score W	Di score D	Di score 4h	Total	13 ema	30 sma	bull/bear									моя таблица									
01.01.2024	16	16	11	43						Сводная таблица 2024 10/20		плохо/убрать		Сводная таблица 2024 13/30		заполнить браян (я брал сигнал отсбда https://app.therationalinvestor.com/chart/?marketId=035520e9-0e0d-45df-ac9e-053b8078fdb9&name=XXBTZUSD&symbol=BTC)									
02.01.2024	16	16	16	48						1	2	Profit/loss		1	2	Profit/loss									
03.01.2024	16	11	15	42						bull	42619	21,51%		bull	43214	17,30%									
04.01.2024	16	15	10	41						bear	51787	-31,93%		bear	50688	-23,22%									
05.01.2024	16	14	16	46						bull	68325	1,87%		bull	62460	-0,21%									
06.01.2024	16	13	15	44						bear	69602	-0,50%		bear	62327	-1,17%									
07.01.2024	16	14	15	45						bull	69950	-1,66%		bull	63055	13,22%									
08.01.2024	13	17	15	45						bear	68789	11,64%		bear	71388	2,78%									
09.01.2024	13	16	16	45						bull	60781	10,98%		bull	69404	-5,91%									
10.01.2024	13	16	12	41						bear	67455	6,80%		bear	65304	-9,58%									
11.01.2024	13	15	13	41						bull	62870	-8,03%		bull	71560	-6,23%									
12.01.2024	13	13	11	37	0,14					bear	57822	-5,12%		bear	67100	8,39%									
13.01.2024	13	11	5	29	42,1					bull	60781	7,35%		bull	61470	10,27%									
14.01.2024	13	9	6	28	40,1					bear	65250	8,80%		bear	67784	-0,05%									
15.01.2024	14	9	7	30	38,6					bull	59505	-0,97%		bull	67817	1,95%									
16.01.2024	14	10	7	31	37,5					bear	58925	-1,87%		bear	69139	18,08%									
17.01.2024	14	10	11	35	37,2					bull	60025	1,07%		bull	56640	8,29%									
18.01.2024	14	7	5	26	35,6					bear	60665	-11,29%		bear	61335	1,62%									
19.01.2024	14	9	9	32	35,1					bull	67513	4,04%		bull	60343	-2,30%									
20.01.2024	14	9	10	33	34,8					bear	70240	-25,13%		bear	58955	-1,79%									
21.01.2024	14	7	10	31	34,2					bull	87892	12,80%		bull	60013	3,53%									
22.01.2024	15	5	3	23	32,6					bear	99140			bear	62129	-8,41%									
23.01.2024	15	5	3	23	31,3					bull				bull	67354	2,12%									
24.01.2024	15	6	6	27	30,6					bear				bear	68780	-1,25%									
25.01.2024	15	7	8	30	30,6					bull				bull	69637	33,61%									
26.01.2024	15	9	9	33	30,9					bear				bear	93044	-9,95%									
27.01.2024	15	10	15	40	32,2									bull	102305	-1,19%	20 dec 2024								
28.01.2024	15	12	13	40	33,3								??	bear	101090	4,24%									
29.01.2024	13	13	11	37	33,8									bull	96800	1,02%									
30.01.2024	13	13	12	38	34,4	36,1	bear							bear	97789										
31.01.2024	13	11	12	36	34,7	35,9	bear																		
01.02.2024	13	13	6	32	34,3	35,4	bear																		
02.02.2024	13	15	13	41	35,2	35,3	bear																		
03.02.2024	13	16	16	45	36,6	35,5	bull	43214		Браяна таблица															
04.02.2024	13	15	11	39	37,0	35,2	bull			Сводная таблица 2024!! Brian 13/30															
05.02.2024	15	15	11	41	37,5	35,1	bull			1	2	Profit/loss													
06.02.2024	15	16	7	38	37,6	34,9	bull			bull	44030	-2,83%													
07.02.2024	15	17	14	46	38,8	34,9	bull			bear	42784	-0,48%													
08.02.2024	15	17	16	48	40,1	35,0	bull			bull	42991	19,83%													
09.02.2024	15	17	15	47	41,1	35,2	bull			bear	51517	-13,73%													
10.02.2024	15	17	14	46	41,8	35,4	bull			bull	58592	18,41%													
11.02.2024	15	17	14	46	42,4	35,7	bull			bear	69380	-0,51%													
12.02.2024	15	16	13	44	42,6	36,2	bull			bull	69735	-6,11%													
13.02.2024	15	16	15	46	43,1	36,8	bull			bear	65471	-5,92%													
14.02.2024	15	15	15	45	43,4	37,3	bull			bull	69349	0,78%													
15.02.2024	15	15	14	44	43,5	37,7	bull			bear	69890	8,30%													
16.02.2024	15	15	13	43	43,4	38,0	bull			bull	64090	-5,26%													
17.02.2024	15	15	12	42	43,2	38,5	bull			bear	60720	-1,45%													
18.02.2024	15	15	10	40	42,7	38,8	bull			bull	61600	9,68%													
19.02.2024	15	15	16	46	43,2	39,2	bull			bear	67560	-4,52%													
20.02.2024	15	15	7	37	42,3	39,4	bull			bull	70616	-1,86%													
21.02.2024	15	15	7	37	41,6	39,9	bull			bear	69303	17,18%													
22.02.2024	15	13	9	37	40,9	40,4	bull			bull	57400	5,70%													
23.02.2024	15	12	5	32	39,6	40,5	bear	50688		bear	60670	-5,71%													
24.02.2024	15	12	6	33	38,7	40,6	bear			bull	64137	-7,95%													
25.02.2024	15	14	10	39	38,7	40,8	bear			bear	59040	-1,68%													
26.02.2024	16	14	12	42	39,2	40,9	bear			bull	60031	4,55%													
27.02.2024	16	15	16	47	40,3	41,1	bear			bear	62760	-8,90%													
28.02.2024	16	15	15	46	41,1	41,4	bear			bull	68346	0,64%													
29.02.2024	16	15	15	46	41,8	41,7	bull	62460		bear	68780	-9,95%													
01.03.2024	16	16	12	44	42,1	42,0	bull			bull	75621	26,47%													
02.03.2024	16	15	12	43	42,3	42,3	bear	62327		bear	95641	-6,05%													
03.03.2024	16	16	10	42	42,2	42,4	bear			bull	101425	-3,77%													
04.03.2024	16	15	17	48	43,0	42,5	bull	63055		bear	97600	1,21%	20 dec 2024												
05.03.2024	16	14	14	44	43,2	42,6	bull			bull	96422														
06.03.2024	16	14	15	45	43,4	42,8	bull																		
07.03.2024	16	15	13	44	43,5	43,0	bull																		
08.03.2024	16	15	14	45	43,7	42,9	bull																		
09.03.2024	16	15	16	47	44,2	42,9	bull																		
10.03.2024	16	15	16	47	44,6	42,9	bull																		
11.03.2024	14	15	15	44	44,5	42,8	bull																		
12.03.2024	14	15	15	44	44,4	42,8	bull																		
13.03.2024	14	15	13	42	44,1	42,7	bull																		
14.03.2024	14	14	12	40	43,5	42,5	bull																		
15.03.2024	14	12	6	32	41,9	42,1	bear	71388																	
